@RELATION stress
@ATTRIBUTE PRESSURE NUMERIC
@ATTRIBUTE SIZE NUMERIC
@ATTRIBUTE MOVEMENT NUMERIC
@ATTRIBUTE DURATION NUMERIC
@ATTRIBUTE TIME_DISTANCE NUMERIC
@ATTRIBUTE class {no-stress, stress}
@data
1.0,0.025708063195149105,0.0,0.127,?,no-stress
1.0,0.023774511413648725,0.0,0.128,797.0,no-stress
1.0,0.024777185679836708,1.8792092377935417,0.201,382.0,no-stress
1.0,0.020588235929608345,0.0,0.167,652.0,no-stress
1.0,0.02328431513160467,0.0,0.123,595.0,no-stress
1.0,0.023333335295319557,2.0276021592420714,0.161,460.0,no-stress
1.0,0.023311548969811864,0.0,0.121,293.0,no-stress
1.0,0.02333333548158407,0.0,0.191,528.0,no-stress
1.0,0.023809525317379406,0.0,0.18,708.0,no-stress
1.0,0.02549019828438759,0.0,0.112,315.0,no-stress
1.0,0.024618738641341526,0.0,0.146,382.0,no-stress
1.0,0.02135076353119479,0.0,0.157,427.0,no-stress
1.0,0.024264708161354065,3.010398644698074,0.128,437.0,no-stress
1.0,0.02509804107248783,0.0,0.146,316.0,no-stress
1.0,0.020915033295750618,0.0,0.156,370.0,no-stress
1.0,0.028851542621850967,0.0,0.117,1125.0,no-stress
1.0,0.026715688407421112,1.5206906325745548,0.145,292.0,no-stress
1.0,0.02044817991554737,0.45175395145262565,0.101,630.0,no-stress
1.0,0.025490198077427015,0.4969039949999533,0.155,382.0,no-stress
1.0,0.022156864404678345,0.0,0.134,360.0,no-stress
1.0,0.02549019828438759,0.0,0.168,348.0,no-stress
1.0,0.023333335295319557,1.1358526424488453,0.19,360.0,no-stress
1.0,0.02174688181416555,0.0,0.173,1521.0,no-stress
1.0,0.02200435847043991,0.0,0.138,881.0,no-stress
1.0,0.024264707462862134,0.0,0.167,697.0,no-stress
1.0,0.0226579536166456,1.3544138493446514,0.156,595.0,no-stress
1.0,0.023529413555349623,0.8571428571428571,0.117,824.0,no-stress
1.0,0.023529413289257457,0.0,0.106,415.0,no-stress
1.0,0.023137256875634192,0.0,0.156,303.0,no-stress
1.0,0.024901963025331496,0.0,0.156,327.0,no-stress
1.0,0.02333333548158407,0.3,0.172,839.0,no-stress
1.0,0.023529413621872663,0.0,0.18,417.0,no-stress
1.0,0.02309368343816863,2.3411693144571615,0.161,1719.0,no-stress
1.0,0.02184874058834144,0.0,0.217,527.0,no-stress
1.0,0.024901963025331496,1.7923167595836005,0.157,596.0,no-stress
1.0,0.022058824775740504,1.0606601717798212,0.112,293.0,no-stress
1.0,0.02156862895935774,0.0,0.065,437.0,no-stress
1.0,0.02352941408753395,0.0,0.083,1147.0,no-stress
1.0,0.022222223588161998,0.5555555555555556,0.123,259.0,no-stress
1.0,0.020915033916632336,0.60914169230673,0.146,337.0,no-stress
1.0,0.02450980618596077,0.7290535403781738,0.146,349.0,no-stress
1.0,0.02352941408753395,1.8705900247042604,0.089,281.0,no-stress
1.0,0.023076924710319593,0.9638433912416667,0.191,719.0,no-stress
1.0,0.026960786432027817,0.0,0.134,394.0,no-stress
1.0,0.02549019828438759,2.972324131685785,0.18,371.0,no-stress
1.0,0.024400873730580013,1.3005222123021807,0.149,2269.0,no-stress
1.0,0.024183008612857923,1.4229164972072996,0.146,562.0,no-stress
1.0,0.02352941408753395,0.0,0.157,652.0,no-stress
1.0,0.025054468255903985,0.8461970117626565,0.157,247.0,no-stress
1.0,0.025882355123758315,1.1,0.179,461.0,no-stress
1.0,0.023774511646479368,0.39528470752104744,0.138,1536.0,no-stress
1.0,0.02200435847043991,2.1573875376608442,0.157,382.0,no-stress
