@RELATION stress
@ATTRIBUTE VERTICAL_AVERAGE_PRESSURE NUMERIC
@ATTRIBUTE VERTICAL_AVERAGE_SIZE NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_DELTA NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_TIME_LENGTH NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_INTERACTION_LENGTH NUMERIC
@ATTRIBUTE VERTICAL_SPEED_SCROLL_DELTA NUMERIC
@ATTRIBUTE VERTICAL_SPEED_SCROLL_INTERACTION NUMERIC
@ATTRIBUTE VERTICAL_MEAN_DISTANCE_CENTER NUMERIC
@ATTRIBUTE VERTICAL_MEAN_DISTANCE_TOP_LEFT NUMERIC
@ATTRIBUTE VERTICAL_LINEARITY NUMERIC
@ATTRIBUTE VERTICAL_LINEARITY_SUM_EVERY_POINT NUMERIC
@ATTRIBUTE class {no-stress, stress}
@data
0.6395833459165361,0.3444444586833318,533.0,296.0,353.26296442024216,1.8006756756756757,1.1934559608791964,344.0324697366077,1371.645293374864,42.0,42.0,no-stress
0.6319444610012902,0.3518518689605925,569.0,288.0,418.56050890482663,1.9756944444444444,1.4533351003639814,293.44736485399653,1285.158104872024,75.0,75.0,no-stress
0.6007353137521183,0.3019607961177826,158.0,288.0,411.331923664462,0.5486111111111112,1.4282358460571598,339.7546011912188,1256.7578247074393,41.0,43.0,no-stress
0.5979166726271311,0.2944444566965103,1033.0,190.0,253.40496648672496,5.436842105263158,1.3337103499301313,418.98833859082487,1401.417650988888,0.0,10.0,no-stress
0.6187500059604645,0.32666667699813845,765.0,304.0,432.35337893397224,2.5164473684210527,1.4222150622828034,440.3798331447472,1416.3471222804462,55.0,57.0,no-stress
0.5651785986764091,0.2666666805744171,810.0,214.0,260.04793120075044,3.7850467289719627,1.2151772486016377,456.74772036851954,1461.4049341340979,38.0,42.0,no-stress
0.5615384762103741,0.2666666805744171,384.0,198.0,211.50102614787545,1.9393939393939394,1.0681870007468457,544.7922480993317,1555.878836801755,14.0,18.0,no-stress
0.5759615485484784,0.2666666805744171,446.0,181.0,216.83266379968563,2.4640883977900554,1.1979705182303073,512.5799697970108,1496.3057065698063,3.0,21.0,no-stress
0.6009615430465112,0.2666666805744171,524.0,189.0,279.7691407280848,2.7724867724867726,1.4802600038523004,458.68959617607237,1419.3100751379784,44.0,44.0,no-stress
0.5326923269491929,0.2666666805744171,427.0,181.0,271.1542939321256,2.3591160220994474,1.4980900217244508,524.4114863955639,1495.2167907263456,25.0,25.0,no-stress
0.5859375186264515,0.2666666805744171,273.0,231.0,307.7870323064954,1.1818181818181819,1.3324113952662138,532.0445835757096,1513.567347847289,24.0,24.0,no-stress
0.6492647072848152,0.37254904473529143,601.0,247.0,399.4754822240085,2.4331983805668016,1.6173096446316133,387.6883357662485,1384.5880529191215,47.0,69.0,no-stress
0.6456250101327896,0.35333335399627686,535.0,304.0,507.3065225119247,1.7598684210526316,1.6687714556313313,311.9664410330895,1348.570517387022,173.0,173.0,no-stress
0.6661458437641462,0.3777778049310048,666.0,370.0,591.5052829362585,1.8,1.5986629268547528,489.9639522808608,1495.166348945437,78.0,136.0,no-stress
0.6461538603672614,0.34358975749749404,628.0,396.0,575.0998506910231,1.5858585858585859,1.4522723502298562,456.3506191006649,1440.4770489520174,43.0,73.0,no-stress
0.6585526372257032,0.3684210761597282,620.0,280.0,529.7559846917321,2.2142857142857144,1.891985659613329,437.4837801392158,1456.4727388034737,80.0,128.0,no-stress
0.6825000137090683,0.38666669726371766,82.0,313.0,467.718505304602,0.26198083067092653,1.4943083236568753,326.8491387573307,1310.2437762981087,36.0,102.0,no-stress
