q,0.82066,5.0,10.0
w,0.26607,180.0,117.0
e,0.06803,1095.0,761.0
r,0.27133,686.0,434.0
t,0.66661,771.0,611.0
y,0.97154,187.0,131.0
u,0.62795,255.0,162.0
i,0.77449,830.0,589.0
o,0.34334,591.0,480.0
p,0.29084,228.0,174.0
a,0.20985,736.0,558.0
s,0.67031,732.0,501.0
d,0.72428,329.0,247.0
f,0.85348,215.0,161.0
g,0.13520,171.0,124.0
h,0.06255,352.0,242.0
j,0.20449,7.0,14.0
k,0.83229,40.0,35.0
l,0.38729,374.0,279.0
shift,0.15704,350.0,214.0
z,0.78125,35.0,29.0
x,0.26483,21.0,24.0
c,0.52235,319.0,222.0
v,0.58520,124.0,76.0
b,0.47726,149.0,96.0
n,0.25042,663.0,460.0
m,0.35027,227.0,202.0
delete,0.12623,862.0,663.0
comma,0.34583,89.0,62.0
space,0.05247,1651.0,1225.0
dot,0.03902,105.0,52.0
q,w,e,r,t,y,u,i,o,p,0.35571,4828.0,3469.0
a,s,d,f,g,h,j,k,l,0.90709,2956.0,2161.0
z,x,c,v,b,n,m,0.13883,1538.0,1109.0
q,w,e,r,t,a,s,d,f,g,z,x,c,v,0.07766,5419.0,3875.0
y,u,i,o,p,h,j,k,l,b,n,m,0.39845,3903.0,2864.0
q,w,e,r,t,a,s,d,f,z,x,c,0.03804,5124.0,3675.0
y,u,i,o,p,g,h,j,k,l,v,b,n,m,0.32910,4198.0,3064.0
q,w,e,r,t,0.01966,2737.0,1933.0
a,s,d,f,g,0.73013,2183.0,1591.0
z,x,c,v,0.32908,499.0,351.0
y,u,i,o,p,0.90170,2091.0,1536.0
h,j,k,l,0.13907,773.0,570.0
b,n,m,0.21146,1039.0,758.0
a,s,d,f,0.50973,2012.0,1467.0
g,h,j,k,l,0.18950,944.0,694.0
z,x,c,0.30028,375.0,275.0
v,b,n,m,0.25529,1163.0,834.0
