q,0.53561,5.0,10.0
w,0.47789,180.0,117.0
e,0.06268,1095.0,761.0
r,0.14879,686.0,434.0
t,0.03814,771.0,611.0
y,0.22240,187.0,131.0
u,0.20007,255.0,162.0
i,0.15615,830.0,589.0
o,0.15235,591.0,480.0
p,0.26051,228.0,174.0
a,0.36466,736.0,558.0
s,0.26522,732.0,501.0
d,0.14390,329.0,247.0
f,0.13085,215.0,161.0
g,0.36346,171.0,124.0
h,0.17494,352.0,242.0
j,0.89922,7.0,14.0
k,0.16011,40.0,35.0
l,0.14444,374.0,279.0
shift,0.53823,350.0,214.0
z,0.30132,35.0,29.0
x,0.02324,21.0,24.0
c,0.09622,319.0,222.0
v,0.47565,124.0,76.0
b,0.30294,149.0,96.0
n,0.21204,663.0,460.0
m,0.42065,227.0,202.0
delete,0.11673,862.0,663.0
comma,0.16124,89.0,62.0
space,0.08818,1651.0,1225.0
dot,0.49938,105.0,52.0
q,w,e,r,t,y,u,i,o,p,0.10719,4828.0,3469.0
a,s,d,f,g,h,j,k,l,0.18298,2956.0,2161.0
z,x,c,v,b,n,m,0.19836,1538.0,1109.0
q,w,e,r,t,a,s,d,f,g,z,x,c,v,0.09342,5419.0,3875.0
y,u,i,o,p,h,j,k,l,b,n,m,0.18273,3903.0,2864.0
q,w,e,r,t,a,s,d,f,z,x,c,0.09920,5124.0,3675.0
y,u,i,o,p,g,h,j,k,l,v,b,n,m,0.17659,4198.0,3064.0
q,w,e,r,t,0.04912,2737.0,1933.0
a,s,d,f,g,0.23023,2183.0,1591.0
z,x,c,v,0.07273,499.0,351.0
y,u,i,o,p,0.15550,2091.0,1536.0
h,j,k,l,0.18366,773.0,570.0
b,n,m,0.25312,1039.0,758.0
a,s,d,f,0.24517,2012.0,1467.0
g,h,j,k,l,0.17208,944.0,694.0
z,x,c,0.06739,375.0,275.0
v,b,n,m,0.23759,1163.0,834.0
